,Track_ID,Track_Name,Track_Artist,Preview_URL
40,5MuNxNox3zTanAFIO5KcTl,He's the Greatest Dancer,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gkWznnJkdkwRPVcmnrays'}, 'href': 'https://api.spotify.com/v1/artists/6gkWznnJkdkwRPVcmnrays', 'id': '6gkWznnJkdkwRPVcmnrays', 'name': 'Sister Sledge', 'type': 'artist', 'uri': 'spotify:artist:6gkWznnJkdkwRPVcmnrays'}]",https://p.scdn.co/mp3-preview/1a0f32d036929246da89075dbe9ff20ca45fb830?cid=57daa17ab8e544dcab420c4b154c56d9
41,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN'}, 'href': 'https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN', 'id': '5WUlDfRSoLAfcVSX1WnrxN', 'name': 'Sia', 'type': 'artist', 'uri': 'spotify:artist:5WUlDfRSoLAfcVSX1WnrxN'}]",https://p.scdn.co/mp3-preview/06392eaab5975806f18d8411f5b58f50b1899198?cid=57daa17ab8e544dcab420c4b154c56d9
42,1uxzFavoQSzR6NhzeSbHdM,I Wanna Be Your Lover - Single Version,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5a2EaR3hamoenG9rDuVn8j'}, 'href': 'https://api.spotify.com/v1/artists/5a2EaR3hamoenG9rDuVn8j', 'id': '5a2EaR3hamoenG9rDuVn8j', 'name': 'Prince', 'type': 'artist', 'uri': 'spotify:artist:5a2EaR3hamoenG9rDuVn8j'}]",https://p.scdn.co/mp3-preview/b201b2dacc082ba8b93727bb45034b0f39db9e29?cid=57daa17ab8e544dcab420c4b154c56d9
45,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26bcq2nyj5GB7uRr558iQg'}, 'href': 'https://api.spotify.com/v1/artists/26bcq2nyj5GB7uRr558iQg', 'id': '26bcq2nyj5GB7uRr558iQg', 'name': 'Survivor', 'type': 'artist', 'uri': 'spotify:artist:26bcq2nyj5GB7uRr558iQg'}]",https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=57daa17ab8e544dcab420c4b154c56d9
47,7sMGwiS4vOMcz86ZY3vKYM,Girls Just Want to Have Fun,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2BTZIqw0ntH9MvilQ3ewNY'}, 'href': 'https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY', 'id': '2BTZIqw0ntH9MvilQ3ewNY', 'name': 'Cyndi Lauper', 'type': 'artist', 'uri': 'spotify:artist:2BTZIqw0ntH9MvilQ3ewNY'}]",https://p.scdn.co/mp3-preview/b7dc055382341560973132ef4dcb45c150875f37?cid=57daa17ab8e544dcab420c4b154c56d9
48,51VSKyT8XfhAscvagBB4bn,Rivers of Babylon - Single Version,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb'}, 'href': 'https://api.spotify.com/v1/artists/54R6Y0I7jGUCveDTtI21nb', 'id': '54R6Y0I7jGUCveDTtI21nb', 'name': 'Boney M.', 'type': 'artist', 'uri': 'spotify:artist:54R6Y0I7jGUCveDTtI21nb'}]",https://p.scdn.co/mp3-preview/2bc7a173d96e563b51efc55d801a64c504b22931?cid=57daa17ab8e544dcab420c4b154c56d9
49,3zrYNl1aMdFrQkcOjKVr5u,I Cry,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY'}, 'href': 'https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY', 'id': '0jnsk9HBra6NMjO2oANoPY', 'name': 'Flo Rida', 'type': 'artist', 'uri': 'spotify:artist:0jnsk9HBra6NMjO2oANoPY'}]",https://p.scdn.co/mp3-preview/83ecc26ad34e94df4a61ed9e44cdd3bacda81d6a?cid=57daa17ab8e544dcab420c4b154c56d9
51,16Cs9KsHzgunxaEfGrXysG,Play Hard (feat. Ne-Yo & Akon) - New Edit,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV'}, 'href': 'https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV', 'id': '0z4gvV4rjIZ9wHck67ucSV', 'name': 'Akon', 'type': 'artist', 'uri': 'spotify:artist:0z4gvV4rjIZ9wHck67ucSV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'}, 'href': 'https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj', 'id': '21E3waRsmPlU7jZsS13rcj', 'name': 'Ne-Yo', 'type': 'artist', 'uri': 'spotify:artist:21E3waRsmPlU7jZsS13rcj'}]",https://p.scdn.co/mp3-preview/06a0e54f1729141c9427bd55ced14be7bb862828?cid=57daa17ab8e544dcab420c4b154c56d9
53,2ahnofp2LbBWDXcJbMaSTu,"What Is Love - 7"" Mix","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Suv0tRrNrUlRzAy8aXjma'}, 'href': 'https://api.spotify.com/v1/artists/0Suv0tRrNrUlRzAy8aXjma', 'id': '0Suv0tRrNrUlRzAy8aXjma', 'name': 'Haddaway', 'type': 'artist', 'uri': 'spotify:artist:0Suv0tRrNrUlRzAy8aXjma'}]",https://p.scdn.co/mp3-preview/659374a67e87fcdc8ea1d975f65d3321084f4ab6?cid=57daa17ab8e544dcab420c4b154c56d9
54,1tJtx09XQnxaynZLOaTNfZ,Car Wash,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1OxJzMLmR9l5zPLap9OxuO'}, 'href': 'https://api.spotify.com/v1/artists/1OxJzMLmR9l5zPLap9OxuO', 'id': '1OxJzMLmR9l5zPLap9OxuO', 'name': 'Rose Royce', 'type': 'artist', 'uri': 'spotify:artist:1OxJzMLmR9l5zPLap9OxuO'}]",https://p.scdn.co/mp3-preview/7230a11dd762c2c6e4ef9e287e2d0e0d55fab2c7?cid=57daa17ab8e544dcab420c4b154c56d9
