,Unnamed: 0,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability,code
5787,6144,j-dance,カメハメハ大王,5Alb4GuD3CKnZFGahFODHA,20,-3.7319999999999998,136.005,207353,0.843,6,0.00528,0.0845,0.7170000000000001,0.787,107
5788,6145,j-dance,Tip Tap – Orland Remix -,3aJrd5eslDn6VPHwj9y7op,2,-3.6839999999999997,105.039,308327,0.915,8,1e-05,0.0896,0.82,0.665,107
5789,6146,j-dance,いつもそばにいるよ / Stand by You,5WQNjL6FCBqtkMSPc3qRB3,0,-6.901,90.00299999999999,477587,0.8690000000000001,8,0.0616,0.0592,0.7170000000000001,0.721,107
5790,6147,j-dance,I like it,20Ya6P6A8KjencCFEIFmsE,16,-4.41,122.00299999999999,214840,0.935,11,0.000739,0.0426,0.838,0.7609999999999999,107
5791,6148,j-dance,忍,3wpLn7fJ7KMHWPMWDiWijM,21,-4.323,96.01799999999999,285573,0.833,7,2.8199999999999998e-05,0.0383,0.122,0.733,107
5792,6149,j-dance,IFDB,5BGJhjfzjmjAVC3sIlGRyj,6,-3.7889999999999997,126.03299999999999,312216,0.797,1,0.479,0.0616,0.5670000000000001,0.6940000000000001,107
5793,6150,j-dance,Don't Leave Without Me - Mitomi Tokoto 2012 Remix,30BrKH4CdDWgHgYGa4VLiq,5,-5.087,128.009,406875,0.6859999999999999,6,0.38,0.0454,0.45399999999999996,0.608,107
5794,6151,j-dance,A HUNDRED SUNS,0MFb7uKsXuks2LV8FMwozS,7,-5.265,135.011,289960,0.907,9,3.39e-06,0.0452,0.5379999999999999,0.5379999999999999,107
5795,6152,j-dance,Dreamin'Boy,0SbS4Wun0Iv9Q3nTKYYcgO,25,-1.367,128.02200000000002,320920,0.988,5,0.7440000000000001,0.045,0.413,0.544,107
5796,6153,j-dance,Submission,4QiMjJqyZrg1CBmVt429di,1,-17.625,95.852,61093,0.301,2,0.855,0.0308,0.433,0.528,107
5797,6154,j-dance,オードリー,0UOuIzqiiOXvDniatsUNsP,25,-4.015,128.048,215606,0.818,6,0.000499,0.0435,0.66,0.682,107
5798,6155,j-dance,24max feat. Gow,53tK4UJX0IoN7Zrte3qD7b,9,-3.8569999999999998,128.002,218493,0.847,0,0.000868,0.0491,0.501,0.5670000000000001,107
5799,6156,j-dance,ママケーキ,0PTDZhhdwyVAJbPReOX2WC,0,-3.537,116.71,397360,0.9470000000000001,7,0.013000000000000001,0.0602,0.726,0.5770000000000001,107
5800,6157,j-dance,Try Me,08MWcGvlOnhYk3a3rUNvjg,2,-7.684,128.31799999999998,256347,0.8959999999999999,8,0.0135,0.151,0.527,0.507,107
5801,6158,j-dance,What Cha' Gonna Do For Me,5vYeETZNoJS4i8oSEQDISu,12,-5.287999999999999,123.984,338693,0.8640000000000001,11,0.0252,0.07400000000000001,0.6779999999999999,0.701,107
5802,6159,j-dance,Do-De-Da ~Trimondo Negimina~,6kJMA1csnJF59YClvFgCNR,10,-3.128,123.979,321947,0.925,1,0.625,0.0404,0.672,0.521,107
5803,6160,j-dance,UPSIDE DOWN,55rj9Hy1PrOvMvKnNhIzd4,11,-4.0680000000000005,129.912,281760,0.95,9,0.138,0.086,0.218,0.32799999999999996,107
5804,6161,j-dance,坂本龍馬,35mqMnYU9LHZJChhFcuiZO,19,-4.45,138.007,188806,0.919,5,0.000173,0.0345,0.5920000000000001,0.563,107
5805,6162,j-dance,たったひとこと,3hof2ah9gWvdAiFLwcxROO,2,-4.806,80.012,275627,0.584,0,0.0,0.0269,0.5429999999999999,0.599,107
5806,6163,j-dance,FIRE,3ALDXVb7J44RVwYMK7dvvz,19,-5.092,127.221,301600,0.9279999999999999,3,6.45e-05,0.0564,0.32799999999999996,0.73,107
5807,6164,j-dance,ミルフィーユ,5YkIH5OfujHX7PAAo1Km3R,10,-3.1710000000000003,142.039,244227,0.887,11,2e-06,0.0521,0.7759999999999999,0.6940000000000001,107
5808,6165,j-dance,ヴィーナスの丘 / Venus Hill,69IdvL8by3vuHC3YfmqMRG,0,-8.183,114.99,249520,0.825,5,0.0332,0.0483,0.622,0.6970000000000001,107
5809,6166,j-dance,明日晴れたら,5MkK6rLvNnycbYXW9OyMjn,18,-4.372,113.014,261173,0.845,11,0.0,0.0515,0.69,0.7559999999999999,107
5810,6167,j-dance,僕が僕であるということ,6PUs7JEq27nskW7JDb9KKg,3,-3.2889999999999997,115.009,233067,0.9159999999999999,10,0.0,0.0425,0.7090000000000001,0.659,107
5811,6168,j-dance,dance dance dance dance,3atUJVXcVeOcvyafXPnWKJ,3,-7.693,128.007,363827,0.924,11,0.927,0.0865,0.7709999999999999,0.8,107
